Beef and veal exports 1/,,,,,,,,,,,,,,,,,,,,Beef and veal exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,38.8,30.5,25.7,36.2,8.0,12.9,16.8,21.4,21.9,21.2,30.8,34.4,42.1,42.8,58.8,45.1,41.9,53.9,,Nebraska,437.9,425.5,417.0,502.1,105.5,183.1,278.6,380.9,466.9,439.8,564.5,762.2,832.2,943.2,1118.8,1013.9,1096.3,1204.1,,1
Alaska,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.1,0.2,0.2,0.2,0.3,,Texas,604.0,572.1,493.1,669.4,136.9,205.2,303.0,401.7,477.4,489.0,608.7,961.0,823.8,924.0,958.3,925.7,845.8,952.0,,2
Arizona,54.0,57.4,53.0,61.0,12.4,21.7,30.8,36.9,42.0,42.3,50.8,71.3,73.7,77.9,89.1,72.0,67.7,87.1,,Kansas,438.5,412.8,404.5,477.7,96.1,170.2,258.4,332.6,412.0,390.9,520.0,659.3,648.4,704.0,791.6,714.0,785.5,891.3,,3
Arkansas,41.2,36.3,34.4,38.2,9.8,18.1,21.9,27.4,32.7,30.4,48.8,53.2,53.1,49.7,67.7,56.5,48.9,57.4,,Iowa,169.2,153.2,152.2,197.7,35.8,67.8,102.8,134.1,190.0,170.3,237.0,289.8,313.1,353.5,413.3,356.5,376.9,437.7,,4
California,108.0,113.7,103.3,132.3,27.8,48.7,69.2,93.9,123.7,116.5,160.3,228.7,265.7,278.8,327.0,258.9,255.3,283.1,,Colorado,226.1,217.4,235.9,259.4,54.3,87.7,134.5,167.1,196.2,184.6,227.4,261.4,298.5,334.7,340.5,326.4,308.4,371.5,,5
Colorado,226.1,217.4,235.9,259.4,54.3,87.7,134.5,167.1,196.2,184.6,227.4,261.4,298.5,334.7,340.5,326.4,308.4,371.5,,Oklahoma,203.7,156.6,158.6,201.9,40.7,75.4,113.8,131.4,158.1,162.7,230.6,337.6,290.1,302.1,352.7,313.7,307.7,351.4,,6
