Feeds and other grains exports 1/,,,,,,,,,,,,,,,,,,,,Feeds and other grains exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,5.9,6.9,6.4,8.1,8.7,9.5,7.8,11.4,15.6,16.0,18.9,19.1,23.0,31.6,39.3,38.2,29.2,29.7,,Iowa,434.9,445.9,500.2,517.7,471.8,513.1,588.1,728.8,"1,020.3",846.1,989.5,"1,208.5","1,290.1","1,358.5","1,294.6","1,522.3","1,352.8","1,229.0",,1
Alaska,0.4,0.6,0.3,0.6,0.6,1.0,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.9,1.0,0.9,0.9,,Illinois,431.6,475.4,438.3,463.5,440.2,501.7,515.0,715.5,936.1,790.2,955.7,"1,110.0","1,086.4","1,002.3","1,471.0","1,429.1","1,180.1","1,122.3",,2
Arizona,17.7,19.6,16.8,17.0,15.8,21.6,24.3,23.5,30.1,23.2,25.1,33.8,35.0,44.9,55.9,50.6,40.2,41.6,,Nebraska,298.9,309.7,298.9,314.0,287.5,305.9,344.1,465.7,599.4,550.9,661.7,880.2,835.9,981.6,985.3,"1,111.7",889.6,818.5,,3
Arkansas,15.6,23.1,24.7,25.1,18.2,17.0,20.3,41.7,44.2,33.5,33.4,40.2,71.1,122.0,126.1,115.2,74.4,70.9,,Minnesota,199.5,188.8,227.0,230.2,237.1,224.6,304.8,373.1,522.7,403.9,521.7,605.7,709.0,"1,011.4",754.5,788.6,704.5,685.5,,4
California,87.7,109.1,84.7,80.9,79.9,105.2,88.6,102.5,167.3,93.9,111.3,161.1,142.6,178.8,232.2,190.9,138.8,126.1,,Indiana,209.6,261.4,201.6,194.0,217.6,213.6,250.5,335.2,434.0,347.6,418.2,541.7,473.6,500.8,730.9,691.2,491.9,501.5,,5
Colorado,81.0,92.0,71.8,59.6,58.6,72.7,90.3,87.1,104.9,97.7,115.7,143.8,146.4,151.8,162.8,187.4,145.5,152.3,,Kansas,199.7,197.6,169.9,139.7,140.9,166.3,190.9,241.8,275.3,284.3,410.4,314.7,297.5,365.7,464.5,527.3,487.8,452.3,,6
