Fresh fruit exports 1/,,,,,,,,,,,,,,,,,,,,Fresh fruit exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2.2,3.5,3.8,2.7,2.9,3.2,2.9,2.5,2.4,2.1,2.3,2.5,2.2,2.4,2.4,2.9,0.9,0.8,,California,"1,123.9","1,187.6","1,158.8","1,179.4","1,303.0","1,470.7","1,454.2","1,573.7","1,873.5","1,968.4","2,179.3","2,318.9","2,698.5","2,876.4","2,888.3","2,601.4","2,695.4","2,908.6",,1
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Washington,235.4,243.9,265.9,317.0,328.3,351.8,388.2,449.2,490.4,474.2,588.1,756.5,859.8,794.3,748.3,783.5,750.5,760.9,,2
Arizona,33.8,33.8,32.5,38.0,35.3,45.0,47.1,49.5,58.7,45.9,45.0,50.4,31.3,53.0,69.3,61.0,57.6,71.1,,Florida,349.3,305.5,320.0,328.3,294.6,351.7,432.0,470.6,526.7,458.3,496.8,591.6,606.5,540.0,469.7,402.7,370.7,331.1,,3
Arkansas,2.2,2.1,2.1,2.2,2.1,2.5,2.8,1.5,2.3,1.3,2.1,1.8,2.7,2.1,1.7,2.1,0.0,0.0,,Oregon,41.8,44.0,41.8,51.5,57.2,58.2,73.2,84.0,96.2,77.5,94.4,115.2,128.1,134.0,134.6,130.8,123.1,137.6,,4
California,"1,123.9","1,187.6","1,158.8","1,179.4","1,303.0","1,470.7","1,454.2","1,573.7","1,873.5","1,968.4","2,179.3","2,318.9","2,698.5","2,876.4","2,888.3","2,601.4","2,695.4","2,908.6",,Michigan,43.2,41.4,29.2,48.3,56.9,54.2,68.7,86.7,83.1,73.1,74.0,109.3,49.5,132.9,112.8,95.7,116.1,94.4,,5
Colorado,3.7,4.7,5.2,5.2,5.0,5.3,6.5,6.9,7.5,7.8,8.0,8.5,8.4,5.0,9.7,6.6,5.6,4.3,,New York,36.4,34.7,34.5,35.5,46.0,48.9,54.8,72.8,79.9,63.7,76.0,86.1,77.1,84.8,83.0,80.3,82.8,89.8,,6
