Processed fruit exports 1/,,,,,,,,,,,,,,,,,,,,Processed fruit exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2.1,3.1,3.4,2.4,2.8,2.7,2.7,2.4,2.2,1.8,2.0,2.3,1.9,2.1,2.1,2.8,0.9,0.7,,California,"1,032.2","1,044.2","1,021.4","1,043.4","1,240.2","1,203.1","1,344.4","1,498.1","1,725.5","1,741.0","1,934.8","2,146.8","2,318.2","2,551.1","2,606.2","2,549.6","2,546.9","2,537.3",,1
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Washington,216.2,214.4,234.4,280.4,312.5,287.8,358.9,427.6,451.7,419.4,522.1,700.4,738.7,704.5,675.2,767.9,709.2,663.8,,2
Arizona,31.0,29.7,28.7,33.6,33.6,36.8,43.5,47.1,54.0,40.6,39.9,46.6,26.9,47.0,62.5,59.8,54.4,62.0,,Florida,320.8,268.6,282.0,290.4,280.4,287.7,399.4,448.0,485.1,405.4,441.1,547.7,521.0,478.9,423.9,394.7,350.3,288.8,,3
Arkansas,2.0,1.8,1.9,2.0,2.0,2.0,2.6,1.5,2.1,1.2,1.8,1.7,2.3,1.8,1.6,2.1,0.0,0.0,,Oregon,38.4,38.7,36.9,45.6,54.5,47.6,67.7,80.0,88.6,68.6,83.8,106.6,110.1,118.9,121.4,128.2,116.4,120.1,,4
California,"1,032.2","1,044.2","1,021.4","1,043.4","1,240.2","1,203.1","1,344.4","1,498.1","1,725.5","1,741.0","1,934.8","2,146.8","2,318.2","2,551.1","2,606.2","2,549.6","2,546.9","2,537.3",,Michigan,39.7,36.4,25.7,42.7,54.2,44.3,63.5,82.5,76.6,64.7,65.7,101.2,42.5,117.9,101.7,93.8,109.7,82.3,,5
Colorado,3.4,4.2,4.6,4.6,4.8,4.4,6.0,6.6,6.9,6.9,7.1,7.8,7.2,4.4,8.7,6.4,5.2,3.8,,New York,33.5,30.5,30.4,31.4,43.8,40.0,50.7,69.3,73.6,56.4,67.5,79.7,66.3,75.2,74.9,78.7,78.3,78.3,,6
