Hides and skins exports 1/,,,,,,,,,,,,,,,,,,,,Hides and skins exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,14.1,14.5,11.8,14.1,13.9,13.9,14.2,14.9,11.7,8.8,14.2,13.7,17.2,17.7,19.2,14.7,10.4,11.1,,Nebraska,166.0,213.0,201.6,206.0,195.3,200.8,240.1,266.2,249.8,172.9,261.0,307.4,342.4,383.5,373.8,328.8,271.7,255.5,,1
Alaska,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,Iowa,147.5,182.8,154.4,156.8,166.3,184.5,211.7,228.6,244.3,172.0,274.8,318.1,338.2,406.5,376.2,285.5,238.8,238.7,,2
Arizona,19.3,25.9,23.9,23.9,21.8,22.6,25.2,24.7,21.8,16.0,22.9,28.0,29.8,31.3,29.1,23.0,16.8,17.9,,Texas,205.2,256.0,216.7,252.1,229.4,205.6,239.9,258.4,236.2,177.5,255.8,355.2,321.1,355.1,302.9,288.0,201.0,192.7,,3
Arkansas,17.5,21.3,19.2,16.5,18.7,20.8,19.7,20.4,18.9,13.0,23.2,22.7,22.8,22.5,23.3,19.0,12.8,12.6,,Kansas,155.1,191.9,182.9,185.4,168.9,178.0,212.8,224.1,212.7,148.4,231.9,260.5,265.1,284.6,261.5,229.6,193.5,188.0,,4
California,38.8,52.8,47.2,52.2,48.5,50.3,56.3,61.6,61.1,42.1,67.7,84.7,101.9,106.1,102.1,79.7,59.9,56.6,,Minnesota,62.4,86.8,69.4,71.6,76.3,77.9,86.9,99.2,100.6,73.3,115.6,123.9,134.5,155.2,156.3,112.4,96.2,98.3,,5
Colorado,86.8,108.2,112.3,105.2,98.3,94.7,114.1,116.2,100.7,69.1,100.7,102.7,119.9,133.2,112.2,104.4,75.9,77.1,,Oklahoma,81.7,87.4,83.0,89.0,84.4,91.6,106.7,102.6,94.8,70.7,118.7,152.8,138.8,147.4,136.7,117.4,90.7,89.2,,6
