U.S. agricultural exports of total plant products 1/,,,,,,,,,,,,,,,,,,,,U.S. agricultural exports of total plant products 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,"Top ten states, 2017",,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank,Top 10,Billion $,,,,,,,,,
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,253.5,331.4,248.1,389.2,400.0,389.0,340.8,370.4,474.6,514.3,581.1,763.4,780.4,887.5,816.1,682.0,714.9,727.1,,California,"6,305.4","6,479.2","6,682.1","7,250.2","8,139.6","9,038.4","9,648.0","10,478.4","12,680.4","12,502.6","13,993.5","16,444.9","18,306.2","20,654.9","21,675.1","21,224.9","20,348.8","21,355.3",,1,CA,21.4,,,,,,,,,
Alaska,5.9,6.6,6.0,6.8,7.0,8.3,7.8,8.4,8.9,8.9,9.6,10.8,11.4,12.9,15.2,14.8,15.0,15.3,,Illinois,"2,909.7","3,074.2","3,154.7","3,487.2","3,537.2","3,435.3","3,811.9","5,525.8","7,168.3","6,264.8","6,980.9","8,006.9","8,131.5","6,697.2","9,168.8","7,508.5","7,749.1","7,546.6",,2,IL,7.5,,,,,,,,,
Arizona,384.6,355.1,405.9,435.7,554.4,571.9,596.1,695.9,842.7,722.3,883.4,"1,265.2","1,071.6","1,141.9","1,021.0","1,152.1","1,234.6","1,424.3",,Iowa,"2,741.2","2,694.9","3,182.8","3,517.4","3,349.0","3,287.8","4,002.4","5,343.4","7,691.3","6,466.0","7,163.9","7,915.9","8,564.0","7,158.2","7,631.0","7,047.0","8,041.8","7,068.8",,3,IA,7.1,,,,,,,,,
Arkansas,917.3,914.7,976.3,"1,437.3","1,534.4","1,477.2","1,629.4","2,049.6","2,814.2","2,243.0","2,545.7","2,779.1","3,241.1","3,243.7","2,854.3","2,568.2","2,418.0","2,532.5",,Minnesota,"1,795.2","1,719.3","2,081.4","2,350.5","2,272.4","2,082.5","2,808.2","3,594.8","5,466.4","4,068.1","4,864.5","5,561.9","6,207.5","6,297.9","5,568.6","4,903.3","5,544.4","5,269.5",,4,MN,5.3,,,,,,,,,
California,"6,305.4","6,479.2","6,682.1","7,250.2","8,139.6","9,038.4","9,648.0","10,478.4","12,680.4","12,502.6","13,993.5","16,444.9","18,306.2","20,654.9","21,675.1","21,224.9","20,348.8","21,355.3",,Texas,"1,626.1","1,802.0","1,854.3","2,073.5","2,891.9","2,847.0","3,201.4","3,736.1","4,633.0","3,212.9","4,755.4","4,596.1","3,925.5","3,878.6","4,052.6","3,993.5","4,296.2","5,189.4",,5,TX,5.2,,,,,,,,,
Colorado,503.6,514.8,501.7,443.5,504.4,563.1,613.8,867.8,953.7,784.1,978.4,"1,240.4","1,058.8",923.8,"1,075.2",938.1,946.5,"1,016.0",,Nebraska,"1,592.0","1,674.3","1,747.9","2,023.3","1,893.8","1,941.8","2,374.1","3,316.4","4,451.9","4,119.3","4,213.3","5,812.9","5,266.4","4,723.2","5,374.9","4,821.6","5,004.7","4,597.5",,6,NE,4.6,,,,,,,,,
Connecticut,105.7,101.2,108.1,109.0,114.3,132.2,135.9,159.9,167.7,165.4,184.1,202.2,210.0,205.7,217.4,228.0,215.5,209.3,,North Dakota,"1,143.6","1,252.3","1,512.4","1,572.5","1,652.0","1,579.3","1,832.5","2,965.3","3,893.7","2,854.2","3,545.0","4,143.3","4,256.6","4,330.6","4,672.6","3,644.1","4,458.0","4,333.6",,7,ND,4.3,,,,,,,,,
Delaware,71.1,76.3,64.9,61.8,73.1,60.7,69.1,86.6,122.0,114.4,129.9,148.5,174.9,169.1,174.2,148.9,152.3,150.6,,Indiana,"1,516.6","1,793.9","1,612.1","1,631.3","1,991.0","1,627.7","2,095.2","2,858.3","3,806.9","3,279.6","3,681.9","4,247.7","4,282.1","3,777.7","4,970.4","3,958.6","3,800.0","3,784.7",,8,IN,3.8,,,,,,,,,
Florida,"1,680.1","1,650.7","1,613.8","1,709.3","1,720.0","1,933.6","2,091.5","2,435.7","2,600.7","2,406.6","2,754.7","3,088.7","3,261.9","3,276.4","3,246.3","3,089.5","3,028.3","2,896.4",,Washington,"1,135.7","1,219.2","1,240.7","1,396.8","1,516.5","1,453.7","1,669.4","2,137.4","2,375.6","2,098.4","2,478.6","3,252.6","3,258.1","3,489.2","3,286.0","3,211.5","3,350.7","3,562.7",,9,WA,3.6,,,,,,,,,
Georgia,963.6,930.1,791.9,994.6,"1,117.3","1,056.9","1,115.9","1,349.3","1,557.5","1,441.4","1,935.4","2,426.7","2,347.8","2,689.8","2,100.8","2,136.6","2,220.7","2,098.2",,Kansas,"1,302.5","1,325.4","1,408.0","1,543.8","1,554.1","1,758.6","1,748.9","2,701.8","3,326.4","2,859.5","3,703.0","3,443.7","3,204.0","3,600.3","3,280.4","2,979.9","3,490.2","3,462.0",,10,KS,3.5,,,,,,,,,
Hawaii,133.0,140.2,134.2,146.1,152.3,173.8,187.6,196.0,230.8,252.3,281.1,327.1,339.0,325.1,318.3,310.2,322.4,319.0,,Missouri,"1,034.8","1,130.6","1,031.0","1,391.9","1,455.7","1,354.2","1,461.4","2,078.2","2,905.1","2,364.4","2,851.4","3,272.7","3,076.2","3,143.4","3,462.8","2,878.3","2,829.2","3,229.3",,11,,,,,,,,,,,
Idaho,555.4,546.1,576.9,518.0,625.1,645.9,711.4,903.0,"1,087.3",878.2,"1,064.3","1,461.7","1,455.7","1,549.8","1,450.2","1,200.6","1,277.8","1,347.9",,Ohio,"1,282.8","1,329.9","1,279.7","1,363.6","1,502.5","1,437.3","1,688.1","2,117.9","2,960.1","2,458.1","2,916.5","3,000.4","3,714.8","3,745.4","3,533.5","3,071.2","3,113.3","2,994.2",,12,,,,,,,,,,,
