Processed vegetables exports 1/,,,,,,,,,,,,,,,,,,,,Processed vegetables exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,5.6,5.0,4.0,5.9,5.5,4.6,5.6,5.9,4.3,4.5,3.6,4.2,6.1,5.6,6.3,7.9,0.2,0.2,,California,784.1,718.9,726.4,724.3,757.6,767.3,888.2,972.3,"1,236.2","1,274.5","1,287.3","1,394.4","1,536.4","1,750.7","2,024.6","2,086.0","1,977.5","2,019.4",,1
Alaska,0.5,0.5,0.5,0.5,0.5,0.8,0.7,0.7,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,,Arizona,90.8,69.0,91.9,56.5,93.3,89.8,77.0,108.0,112.0,114.4,156.1,229.3,147.7,227.2,142.9,221.6,316.0,383.6,,2
Arizona,90.8,69.0,91.9,56.5,93.3,89.8,77.0,108.0,112.0,114.4,156.1,229.3,147.7,227.2,142.9,221.6,316.0,383.6,,Washington,89.1,110.6,96.7,97.2,94.8,109.0,129.6,152.8,215.6,219.4,215.8,247.6,316.6,295.8,308.2,317.1,339.0,344.4,,3
Arkansas,3.3,3.2,2.9,3.9,3.1,5.2,5.5,5.1,3.2,2.1,3.8,5.6,10.3,7.0,7.7,6.9,4.1,5.4,,Idaho,80.2,82.6,90.4,71.8,72.6,76.5,99.0,115.5,178.8,177.3,191.6,229.0,280.7,261.4,273.7,249.5,277.4,296.0,,4
California,784.1,718.9,726.4,724.3,757.6,767.3,888.2,972.3,"1,236.2","1,274.5","1,287.3","1,394.4","1,536.4","1,750.7","2,024.6","2,086.0","1,977.5","2,019.4",,Florida,176.1,172.9,158.9,152.7,164.9,217.1,194.8,227.5,298.2,250.7,302.1,267.5,267.6,294.8,313.3,292.4,279.1,264.6,,5
Colorado,37.2,33.5,33.2,24.8,28.0,41.6,39.7,47.5,62.0,51.1,58.1,73.4,71.8,59.5,64.8,59.7,65.2,67.0,,North Dakota,28.3,30.6,32.0,29.1,39.2,42.5,42.1,74.1,118.9,103.5,112.0,98.7,152.7,152.7,135.8,142.3,184.3,161.8,,6
