"","name", "dam", "sire", "sex", "year"
"0","A Blackstone Westwyn Baby","Westwyn Dindael Mercedes","Luray Blackstones Treat CDX NA NAJ"," Female", 1990 
"1","A Blue Day Pleasure from The Small Hill Rebels","Bonnie from the Stone of Scone","Blåtirans Gandalf The Gray"," Male", 2013 
"2","A Country Penny Saved","Silver Creek's Bit O' Honey","Silver Creek Imp Of Rhydowen"," Female", 1981 
"3","A Countrys Autumn Dancer","A Country Penny Saved","Agawop Karaway Coriander"," Female", 1983 
"4","A Gardner's Delight","Twinroc Steel Magnolia HSAs","Davenitch Peer of Pluperfect ROMg"," Female", 1993 
"5","A Lone Star Angus CD","Sisterwood's Angel 'N Disguise","Windshyre's Personna"," Male", 2000 
"6","A Solar Flare for Lily Crown","Kherders Madrai Brusnika","Aethwy Ultramarine"," Female", 2017 
"7","A Summers Touch Of Daisy","Adams Acres Holiday Charm AM CD ROMb","Ula Mauna's Sir Gawaine"," Female", 1999 
"8","A Twelve-Point Riff","Sisterwood's Happy Angel Wings ROMb","Sisterwood's Magic Moment"," Male", 1991 
"9","Åaleasbrindleyobplet","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Male", 1980 
"10","Åbolitionofxanthippes","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Female", 1980 
"11","Ågirlleassoftredsphinx","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Female", 1980 
"12","Åhsmokysniffylemonsqueezer","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Male", 1980 
"13","Årsharpasyataganscoobydoo","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Male", 1980 
"14","Åvangardangelface�hdedy","Sankt-Cardis Alea","Lesley v.d. Besthmerberg"," Male", 1980 
"15","Aamut�hti","Imago's One Pretty Finn","Imago's Xmas Party"," Female", 2010 
"16","Aaron aus dem Feenring","Audrey from the Stone of Scone","Gowerston Graduate"," Male", 2012 
"17","Aasteds Always Add Bubbly Blue","Aasteds Merry Marimekko","Trafox Blue Of Diamonds"," Male", 2014 
"18","Aasteds Angel Eyes","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Male", 2018 
"19","Aasteds Arthur Pendragon","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"20","Aasteds Big Love","Vistruphus Haldora","Rhiwelli Enigma"," Male", 2017 
"21","Aasteds Black Knight","Bobass Aya","Georgeous George Controversia"," Male", 2009 
"22","Aasteds Cant Buy Me Love","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"23","Aasteds Captain Hook","Bobass Aya","Georgeous George Controversia"," Male", 2009 
"24","Aasteds Casino Royale","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"25","Aasteds Cinderella","Bobass Aya","Georgeous George Controversia"," Female", 2009 
"26","Aasteds Dancing Queen","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"27","Aasteds Diamonds are Forever","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"28","Aasteds Dressed For Success","Vistruphus Haldora","Rhiwelli Enigma"," Female", 2017 
"29","Aasteds Fascinating Fazer","Bobass Aya","Mandylay's Tribune"," Male", 2011 
"30","Aasteds Fighting Friend","Avonaire Kindred Spirit","Mosegården's Local Hero"," Male", 2011 
"31","Aasteds Fighting Hero","Avonaire Kindred Spirit","Mosegården's Local Hero"," Male", 2011 
"32","Aasteds Fighting Spirit","Avonaire Kindred Spirit","Mosegården's Local Hero"," Female", 2011 
"33","Aasteds Fighting Star","Avonaire Kindred Spirit","Mosegården's Local Hero"," Male", 2011 
"34","Aasteds Fighting Survivor","Avonaire Kindred Spirit","Mosegården's Local Hero"," Male", 2011 
"35","Aasteds Get Excited","Vistruphus Haldora","Rhiwelli Enigma"," Male", 2017 
"36","Aasteds Goldeneye","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"37","Aasteds Got The Look","Vistruphus Haldora","Rhiwelli Enigma"," Female", 2017 
"38","Aasteds Have A Dream","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"39","Aasteds Head Over Heels","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"40","Aasteds Here Comes The Sun","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"41","Aasteds Honey Honey","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"42","Aasteds Joyride","Vistruphus Haldora","Rhiwelli Enigma"," Female", 2017 
"43","Aasteds Just Be Brilliantly Blue","Aasteds Merry Marimekko","Trafox Blue Of Diamonds"," Female", 2014 
"44","Aasteds Let It Be","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"45","Aasteds Little Mermaid","Bobass Aya","Georgeous George Controversia"," Female", 2009 
"46","Aasteds Living Daylights","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"47","Aasteds Look Sharp","Vistruphus Haldora","Rhiwelli Enigma"," Male", 2017 
"48","Aasteds Love Light","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Male", 2018 
"49","Aasteds Lovely Lapin Kulta","Bobass Aya","Mandylay's Tribune"," Male", 2011 
"50","Aasteds Lucy In The Sky","Bobass Aya","Georgeous George Controversia"," Female", 2010 
"51","Aasteds Mamma Mia","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"52","Aasteds Merry Marimekko","Bobass Aya","Mandylay's Tribune"," Female", 2011 
"53","Aasteds Moonraker","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"54","Aasteds One And Only","Aasteds Quantum of Solace","Bobass Aladin"," Male", 2016 
"55","Aasteds Penny Lane","Bobass Aya","Georgeous George Controversia"," Female", 2010 
"56","Aasteds Prince Charming","Bobass Aya","Georgeous George Controversia"," Male", 2009 
"57","Aasteds Princess Fiona","Bobass Aya","Georgeous George Controversia"," Female", 2009 
"58","Aasteds Quantum of Solace","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Female", 2013 
"59","Aasteds Rock Me","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Male", 2018 
"60","Aasteds Sergeant Pepper","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"61","Aasteds Sir Lancelot","Bobass Aya","Georgeous George Controversia"," Male", 2009 
"62","Aasteds Skyfall","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Female", 2013 
"63","Aasteds Small Talk","Vistruphus Haldora","Rhiwelli Enigma"," Female", 2017 
"64","Aasteds Strawberry Fields","Bobass Aya","Georgeous George Controversia"," Female", 2010 
"65","Aasteds Super Trouper","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Male", 2018 
"66","Aasteds Take A Chance On Me","Vistruphus Haldora","Hova Bonde's Leroy Jethro Gibbs"," Female", 2018 
"67","Aasteds Thunderball","Avonaire Kindred Spirit","Nickname's Bluecamouflage To Cardax"," Male", 2013 
"68","Aasteds Twist And Shout","Bobass Aya","Georgeous George Controversia"," Male", 2010 
"69","Aatu","Imago's One Pretty Finn","Imago's Xmas Party"," Male", 2010 
"70","Abarta Shining Sirius","Fest Delicja","Damian Corlan Gi"," Female", 2010 
"71","Abba Zgrabna Controversia","Uchachana Uchatka Controversia","Faarup Kawasaki"," Female", 2012 
"72","Abbey Kasmir Moravia","Rotshcard Auronelain","Highlander Cymraeg Ci"," Female", 2011 
"73","Abbey Lige Godlove","Chandler's Pym Of Pluperfect","Pluperfect Pennywise ROMs"," Female", 1996 
