Other plant products exports1/,,,,,,,,,,,,,,,,,,,,Other plant products exports1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,71.0,80.2,81.3,101.3,117.3,91.5,96.8,109.7,109.9,103.3,115.8,129.2,147.2,156.1,163.8,160.6,181.7,182.3,,California,"1,197.6","1,264.0","1,271.6","1,373.0","1,445.7","1,528.7","1,720.7","1,907.8","2,192.8","2,073.9","2,433.7","2,759.8","3,251.7","3,523.7","3,812.1","3,792.0","3,796.7","3,872.4",,1
Alaska,4.5,4.8,4.6,5.0,5.1,5.4,5.8,6.2,8.0,7.9,8.4,9.6,10.2,11.7,13.6,13.1,13.3,13.6,,Florida,631.9,707.3,671.7,733.4,763.8,823.1,825.5,"1,022.3","1,003.9","1,015.1","1,182.2","1,329.8","1,480.5","1,543.9","1,591.2","1,649.8","1,680.9","1,666.8",,2
Arizona,38.6,41.6,39.9,88.1,109.8,140.0,163.0,195.2,219.9,203.3,218.8,242.5,341.4,310.3,359.3,343.2,361.4,367.9,,Texas,387.8,453.2,460.0,540.8,580.1,672.8,703.8,797.1,798.7,748.6,849.8,887.2,964.1,"1,052.0","1,101.7","1,055.3","1,109.3","1,110.8",,3
Arkansas,15.6,19.2,18.6,18.7,20.4,22.2,23.7,25.2,39.6,35.4,39.6,44.8,48.4,52.9,55.0,53.9,59.4,59.2,,Washington,191.0,194.9,184.1,236.2,209.6,222.8,269.3,292.1,400.2,405.5,390.3,439.7,470.9,638.2,657.4,710.0,819.4,946.8,,4
California,"1,197.6","1,264.0","1,271.6","1,373.0","1,445.7","1,528.7","1,720.7","1,907.8","2,192.8","2,073.9","2,433.7","2,759.8","3,251.7","3,523.7","3,812.1","3,792.0","3,796.7","3,872.4",,Oregon,396.2,440.5,418.5,475.8,500.4,533.5,691.2,730.2,664.2,583.1,586.8,732.2,805.4,870.7,901.0,891.2,925.6,918.3,,5
Colorado,90.7,108.8,118.3,98.4,139.9,147.8,161.4,157.6,181.8,185.3,202.4,240.8,271.1,271.0,277.8,276.1,310.8,318.6,,Pennsylvania,236.5,262.6,271.0,264.1,297.3,311.2,291.0,325.4,442.8,444.6,488.2,564.3,640.4,668.8,686.3,704.1,734.5,746.1,,6
