U.S. exports of total animal products 1/,,,,,,,,,,,,,,,,,,,,U.S. agricultural exports of total animal products 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,"Top ten states, 2017",,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank,Top 10,Billion $,,,,,,,,,
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,321.1,341.7,282.0,330.3,324.5,382.5,354.9,469.2,575.9,526.4,550.6,641.6,689.2,699.8,694.0,517.1,492.6,544.8,,Iowa,734.8,809.2,756.2,836.9,901.2,"1,120.3","1,269.3","1,488.7","2,145.7","1,859.2","2,204.9","2,828.4","2,988.3","3,185.9","3,560.7","2,914.6","2,928.6","3,226.0",,1,IA,3.2,,,,,,,,,
Alaska,0.3,0.3,0.4,1.5,1.4,1.5,1.7,1.8,1.7,1.4,1.9,2.1,2.0,1.6,1.7,1.5,1.6,2.0,,Texas,"1,069.3","1,109.5",954.9,"1,189.4",674.4,800.5,926.6,"1,189.6","1,410.2","1,283.1","1,565.8","2,180.8","2,045.5","2,218.8","2,216.5","1,959.8","1,760.5","2,005.3",,2,TX,2.0,,,,,,,,,
Arizona,101.3,112.0,105.9,116.9,77.7,91.5,109.9,147.8,171.7,128.8,186.6,249.5,264.0,293.7,313.5,239.4,219.2,258.3,,Nebraska,708.5,757.3,738.9,833.8,455.5,554.6,707.6,868.0,"1,015.5",872.0,"1,124.7","1,435.6","1,524.9","1,654.5","1,865.4","1,645.6","1,672.5","1,799.9",,3,NE,1.8,,,,,,,,,
Arkansas,389.0,432.1,351.3,363.7,380.4,460.6,421.3,556.5,699.8,621.4,644.7,727.1,769.0,779.7,771.4,574.7,589.0,650.3,,California,547.2,608.8,528.2,598.2,563.5,641.0,703.4,"1,083.4","1,334.5",959.7,"1,359.8","1,751.0","1,876.7","2,126.3","2,256.3","1,672.2","1,511.3","1,695.2",,4,CA,1.7,,,,,,,,,
California,547.2,608.8,528.2,598.2,563.5,641.0,703.4,"1,083.4","1,334.5",959.7,"1,359.8","1,751.0","1,876.7","2,126.3","2,256.3","1,672.2","1,511.3","1,695.2",,Minnesota,412.0,490.7,436.2,494.0,539.2,637.2,703.5,858.9,"1,200.3","1,039.3","1,247.6","1,482.6","1,593.0","1,610.5","1,815.8","1,394.1","1,446.5","1,599.5",,5,MN,1.6,,,,,,,,,
Colorado,389.0,403.2,416.9,429.0,235.2,267.1,352.1,418.1,520.9,448.2,532.0,619.9,663.5,716.9,721.0,652.8,595.0,685.8,,North Carolina,523.1,603.8,536.9,552.0,672.0,809.2,819.4,982.8,"1,355.6","1,188.5","1,285.3","1,519.8","1,643.2","1,654.7","1,615.9","1,299.2","1,357.2","1,461.2",,6,NC,1.5,,,,,,,,,
Connecticut,26.4,27.4,22.9,21.2,20.4,20.6,24.5,33.5,25.9,22.1,29.3,36.1,39.0,46.8,42.2,35.8,33.6,39.1,,Kansas,652.6,665.6,643.7,725.9,355.1,452.5,585.7,699.4,831.7,712.9,973.0,"1,212.4","1,206.2","1,274.1","1,354.8","1,185.0","1,230.8","1,369.1",,7,KS,1.4,,,,,,,,,
Delaware,59.6,72.0,57.3,58.9,63.8,80.2,68.7,100.6,117.8,116.6,111.6,120.8,136.2,139.1,148.7,109.6,105.6,117.3,,Wisconsin,311.3,361.5,315.2,315.3,350.2,417.7,496.6,703.4,870.8,628.1,858.0,"1,087.9","1,144.4","1,349.6","1,404.4","1,155.1","1,059.3","1,215.7",,8,WI,1.2,,,,,,,,,
Florida,203.1,206.7,183.5,172.7,156.9,161.2,184.3,172.3,203.0,158.2,207.9,245.9,383.7,382.7,401.9,344.2,289.1,328.8,,Oklahoma,415.1,393.6,373.5,432.6,306.2,377.3,426.2,479.2,569.6,516.4,693.3,944.7,873.8,885.7,919.2,799.3,778.5,862.1,,9,OK,0.9,,,,,,,,,
Georgia,337.9,391.3,307.3,335.7,356.0,420.5,395.5,558.7,726.6,660.9,648.6,787.7,899.0,908.8,894.3,682.6,661.0,705.6,,Indiana,193.9,220.1,192.2,220.2,238.0,275.4,303.5,386.0,576.8,501.9,615.8,750.7,777.8,772.6,837.1,714.7,699.1,815.6,,10,IN,0.8,,,,,,,,,
Hawaii,18.0,17.8,18.0,13.4,11.8,12.0,11.0,15.4,26.9,22.8,27.3,36.4,44.8,40.4,48.4,46.2,43.8,51.9,,Missouri,313.3,331.0,277.8,321.3,288.9,343.0,399.4,511.6,657.3,580.4,635.0,776.5,804.3,783.9,881.5,734.4,724.6,798.0,,11,,,,,,,,,,,
Idaho,162.6,192.6,192.3,202.0,150.7,176.1,212.7,314.1,396.3,283.2,425.5,552.0,595.7,742.2,775.3,617.7,593.8,645.0,,Kentucky,637.7,537.1,457.6,482.9,496.7,546.5,617.6,764.4,345.5,320.6,395.8,476.7,512.5,794.0,750.8,624.8,601.3,717.7,,12,,,,,,,,,,,
Illinois,206.5,243.6,224.8,249.8,244.5,269.5,283.3,331.1,451.2,400.6,493.3,601.1,618.4,635.3,682.5,530.5,555.8,611.5,,Pennsylvania,234.0,261.8,223.8,240.6,247.9,283.0,307.4,416.2,530.8,419.2,566.7,706.2,747.6,838.9,884.9,698.2,602.1,706.1,,13,,,,,,,,,,,
Indiana,193.9,220.1,192.2,220.2,238.0,275.4,303.5,386.0,576.8,501.9,615.8,750.7,777.8,772.6,837.1,714.7,699.1,815.6,,Georgia,337.9,391.3,307.3,335.7,356.0,420.5,395.5,558.7,726.6,660.9,648.6,787.7,899.0,908.8,894.3,682.6,661.0,705.6,,14,,,,,,,,,,,
Iowa,734.8,809.2,756.2,836.9,901.2,"1,120.3","1,269.3","1,488.7","2,145.7","1,859.2","2,204.9","2,828.4","2,988.3","3,185.9","3,560.7","2,914.6","2,928.6","3,226.0",,Colorado,389.0,403.2,416.9,429.0,235.2,267.1,352.1,418.1,520.9,448.2,532.0,619.9,663.5,716.9,721.0,652.8,595.0,685.8,,15,,,,,,,,,,,
