Corn exports 1/,,,,,,,,,,,,,,,,,,,,Corn exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,5.8,6.5,7.9,9.9,13.5,9.4,8.8,16.9,27.6,24.2,27.0,33.5,25.5,20.5,37.0,26.2,28.6,27.9,,Iowa,776.1,760.9,972.1,936.8,"1,067.9",920.0,"1,345.8","1,763.5","2,544.7","1,619.6","1,721.0","2,489.3","1,728.2","1,090.7","1,587.7","1,414.5","1,790.5","1,581.2",,1
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Illinois,780.9,831.1,870.6,847.6,"1,009.2",917.8,"1,188.9","1,762.4","2,361.2","1,528.7","1,670.9","2,290.9","1,459.1",806.9,"1,820.5","1,336.5","1,564.8","1,441.6",,2
Arizona,3.3,3.1,2.8,2.3,2.4,1.9,2.1,2.9,4.0,2.6,4.0,6.4,5.5,4.5,8.4,5.4,8.4,7.5,,Nebraska,507.6,497.1,554.1,538.7,625.9,535.7,759.2,"1,094.6","1,465.1","1,035.0","1,131.4","1,780.5","1,093.8",769.4,"1,183.5","1,010.1","1,142.7","1,021.3",,3
Arkansas,10.1,13.9,18.1,24.5,30.7,18.0,19.0,57.6,84.4,52.6,49.1,68.8,81.8,82.6,125.8,64.3,84.4,82.3,,Minnesota,348.3,311.4,436.2,405.3,534.8,383.0,681.7,878.5,"1,272.2",752.5,885.2,"1,221.0",934.0,800.1,904.1,717.2,914.8,865.9,,4
California,17.5,16.6,15.7,12.7,14.7,10.8,11.6,23.1,37.5,29.2,30.8,35.6,24.4,19.1,26.5,10.3,12.6,14.4,,Indiana,374.4,454.3,397.3,350.7,494.0,384.7,563.6,818.7,"1,083.8",666.1,725.8,"1,110.4",630.4,399.5,895.9,640.1,641.9,636.1,,5
Colorado,82.4,80.6,77.7,60.9,72.8,72.9,92.0,103.1,141.6,100.6,134.3,189.9,125.6,69.9,106.0,87.5,104.5,103.2,,South Dakota,154.8,161.5,178.3,172.6,231.6,186.9,223.5,326.1,597.0,425.1,400.9,642.7,441.8,302.5,546.6,413.6,487.9,426.9,,6
