Dairy products exports 1/,,,,,,,,,,,,,,,,,,,,Dairy products exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2.3,2.2,1.8,1.7,2.3,2.3,2.4,3.5,4.3,2.3,3.6,4.1,3.9,4.6,4.3,2.9,2.1,2.3,,California,176.3,203.4,176.1,189.2,284.9,318.6,351.5,616.3,745.7,417.0,697.1,929.9,953.7,"1,269.9","1,345.5",922.8,825.3,931.0,,1
Alaska,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,,Wisconsin,127.9,142.7,122.3,133.3,195.8,215.2,240.7,385.9,492.3,300.6,487.7,633.6,722.8,923.8,969.8,751.0,682.4,772.4,,2
Arizona,17.1,19.9,18.4,20.0,30.3,33.9,39.5,67.3,82.2,45.2,77.4,105.5,109.3,145.5,156.4,110.8,99.1,118.4,,New York,73.5,81.3,71.6,73.3,103.5,116.7,126.0,199.8,256.4,154.9,259.5,331.8,352.8,474.5,499.9,374.9,340.6,383.6,,3
Arkansas,3.1,3.0,2.3,2.2,2.7,2.7,2.7,3.5,3.9,2.0,3.0,3.5,3.3,3.6,3.4,2.4,1.8,2.0,,Idaho,36.3,45.9,42.2,47.2,72.1,86.5,100.4,172.2,226.2,131.5,223.3,294.6,334.7,428.9,459.7,344.8,320.6,356.2,,4
California,176.3,203.4,176.1,189.2,284.9,318.6,351.5,616.3,745.7,417.0,697.1,929.9,953.7,"1,269.9","1,345.5",922.8,825.3,931.0,,Texas,36.5,35.3,31.3,34.3,51.8,59.9,74.2,121.8,168.9,107.7,177.0,240.6,247.4,326.0,363.7,266.7,251.5,314.0,,5
Colorado,10.6,12.7,11.5,12.4,18.2,21.1,25.6,43.3,57.5,33.0,53.7,71.9,82.0,111.3,123.2,97.5,88.7,107.0,,Pennsylvania,72.4,78.9,68.1,67.6,93.4,107.6,122.1,186.4,226.4,138.8,229.9,280.9,288.0,377.6,391.6,291.1,251.5,286.7,,6
