Processed grain products exports 1/,,,,,,,,,,,,,,,,,,,,Processed grain products exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2.9,3.2,3.3,4.3,5.2,5.8,5.2,7.2,9.8,11.2,10.4,12.2,14.5,18.9,20.9,18.5,16.1,15.7,,Iowa,163.2,167.0,225.6,241.7,251.3,284.5,336.9,395.2,440.0,447.1,469.7,548.0,607.3,558.3,483.4,543.4,566.2,544.0,,1
Alaska,0.1,0.2,0.2,0.3,0.3,0.5,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.4,0.4,,Illinois,169.9,183.9,204.4,225.9,244.9,286.9,311.8,402.8,420.5,430.6,458.9,516.4,522.4,432.7,561.8,519.9,502.8,507.2,,2
Arizona,7.9,8.7,9.3,10.4,10.8,14.0,16.1,15.4,17.4,19.4,14.3,18.2,20.7,21.9,25.4,26.4,21.4,23.3,,Nebraska,123.0,124.8,147.1,160.5,165.6,186.7,215.9,282.0,279.6,312.1,332.2,416.3,416.6,417.9,390.2,411.5,385.8,375.9,,3
Arkansas,34.3,41.7,40.2,51.4,68.5,67.1,79.5,94.6,95.9,96.6,93.9,80.9,91.0,138.4,136.8,126.6,99.3,99.8,,Minnesota,89.3,86.1,118.8,124.7,146.3,145.9,198.1,229.5,256.5,239.6,271.9,305.9,357.6,442.8,305.9,305.9,318.6,331.4,,4
California,46.7,62.3,59.7,63.9,72.7,92.8,86.8,93.9,127.1,124.5,115.9,131.5,118.0,135.5,161.8,127.8,110.4,105.2,,Kansas,129.0,126.4,137.4,147.9,137.0,190.1,194.7,232.8,215.2,249.7,293.6,227.0,255.8,263.8,265.1,282.4,296.2,290.6,,5
Colorado,42.4,45.0,43.1,40.8,41.7,54.4,64.7,75.4,64.7,75.7,81.8,88.7,94.5,79.5,89.2,87.0,80.4,88.6,,Indiana,82.7,101.9,93.9,95.6,121.4,124.9,149.4,189.3,195.5,192.4,203.1,252.2,229.9,215.5,282.0,252.4,211.6,227.5,,6
