Other livestock products exports 1/,,,,,,,,,,,,,,,,,,,,Other livestock products exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,50.3,45.3,46.4,66.6,63.2,63.5,64.0,74.3,82.1,53.4,74.4,98.9,83.1,63.6,59.3,55.0,58.7,66.8,,Kentucky,500.7,385.3,332.3,338.0,366.7,398.4,466.2,559.9,103.1,101.9,144.8,188.8,203.7,451.6,395.0,344.0,336.1,428.6,,1
Alaska,0.0,0.0,0.0,1.2,1.1,1.1,1.2,1.4,1.2,1.0,1.2,1.5,1.3,1.2,1.2,1.1,1.1,1.4,,California,121.8,125.2,114.7,122.4,87.1,88.7,96.0,140.0,206.8,202.8,238.8,281.9,300.4,223.7,244.5,229.5,208.0,244.8,,2
Arizona,5.6,5.6,5.4,5.0,4.2,3.9,4.6,7.4,9.8,11.2,18.1,23.0,30.2,19.8,19.1,17.4,17.1,20.2,,Texas,81.2,81.2,80.0,88.1,86.2,126.9,125.0,156.0,182.4,161.0,197.9,237.0,197.4,165.7,159.3,129.2,140.6,183.9,,3
Arkansas,54.9,57.4,50.9,49.6,47.2,51.8,55.8,69.3,76.5,51.6,58.4,58.4,47.0,38.4,33.2,29.1,28.9,35.3,,Washington,37.4,52.5,52.0,46.7,45.1,51.9,52.8,88.3,102.3,82.8,100.4,117.2,136.5,133.9,125.2,112.2,110.8,136.8,,4
California,121.8,125.2,114.7,122.4,87.1,88.7,96.0,140.0,206.8,202.8,238.8,281.9,300.4,223.7,244.5,229.5,208.0,244.8,,Florida,105.8,102.6,94.1,84.6,79.7,73.1,89.9,49.2,55.2,45.6,52.4,59.8,176.2,141.9,132.8,116.9,117.0,136.0,,5
Colorado,21.4,20.6,16.5,14.6,14.4,15.6,18.3,24.3,100.4,108.4,83.6,99.8,81.3,60.6,56.3,51.2,50.7,63.1,,Wisconsin,61.5,85.4,80.3,56.9,70.6,93.6,123.0,165.0,226.6,194.9,203.8,225.3,190.1,143.3,136.9,110.8,109.7,129.3,,6
