U.S. agricultural exports: calendar years 2000-2017 by Schedule B 10 digit codes 1/,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
,,,,,,,,,Million $,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Beef and veal,"3,614.6","3,404.7","3,203.9","3,855.6",807.7,"1,377.2","2,031.4","2,623.6","3,195.7","3,081.5","4,078.6","5,420.0","5,507.9","6,173.0","7,138.0","6,310.7","6,360.1","7,263.1",
201100010,"CRC,1/2CRCVL F/C","5,388.0","7,303.0","6,939.0","2,624.0",203.0,626.0,"1,653.0","4,378.0","6,093.0","3,644.0","8,962.0","6,141.0","4,505.0",368.0,330.0,289.0,951.0,887.0,
201100090,CARCASSES/HALF-C,"16,121.0","9,224.0","6,912.0","7,103.0",892.0,"2,574.0","1,232.0","1,005.0","2,426.0","1,944.0","4,138.0","5,681.0","5,909.0","5,122.0","7,563.0","5,937.0","8,595.0","7,610.0",
201203550,BF PRSDW/B FR/CH,"27,404.0","14,158.0","9,922.0","13,390.0","2,457.0","1,434.0","6,030.0","9,065.0","41,463.0","16,689.0","7,164.0","10,688.0","17,415.0","8,088.0","3,800.0","5,773.0","10,942.0","124,097.0",
201206000,BFW/B NTPRSD F/C,"74,818.0","71,016.0","76,399.0","71,596.0","4,889.0","25,117.0","70,298.0","115,161.0","151,185.0","156,138.0","129,352.0","192,266.0","227,182.0","228,457.0","173,408.0","156,257.0","143,260.0","90,121.0",
201303550,"BF PRSD WO/B,F/C","532,573.0","501,268.0","195,509.0","164,443.0","115,125.0","195,021.0","177,985.0","148,507.0","34,468.0","118,271.0","83,105.0","214,443.0","230,672.0","251,889.0","176,039.0","128,180.0","132,787.0","436,651.0",
201306000,BFWO/B NPRSD F/C,"920,268.0","921,563.0","1,103,560.0","1,441,736.0","308,968.0","499,853.0","948,476.0","1,189,374.0","1,615,034.0","1,384,006.0","1,641,339.0","2,070,608.0","2,131,869.0","2,441,462.0","2,719,742.0","2,354,736.0","2,385,387.0","2,712,204.0",
202100010,"CRC,1/2CRC VL FZ","4,169.0","1,560.0","1,314.0","1,154.0",345.0,"1,166.0","1,111.0","2,381.0","2,768.0",986.0,"1,106.0","1,056.0",522.0,728.0,591.0,737.0,"1,142.0",392.0,
202100090,CARCASSES/HALF-C,"15,728.0","15,061.0","6,824.0","6,142.0","1,079.0",899.0,"1,332.0","1,058.0","4,779.0","3,747.0","3,850.0","1,119.0",703.0,649.0,"2,675.0","2,283.0","1,389.0","1,362.0",
202203550,BF PRSD W/B FRZ,"62,101.0","41,443.0","22,577.0","27,151.0","3,650.0","3,788.0","6,868.0","7,309.0","7,958.0","11,381.0","21,377.0","19,406.0","23,352.0","20,132.0","18,437.0","16,835.0","30,238.0","33,138.0",
202206000,"BFW/B CRC,FRZ","159,273.0","199,342.0","227,675.0","342,385.0","6,952.0","7,390.0","12,482.0","30,179.0","163,943.0","145,932.0","347,879.0","354,862.0","318,756.0","574,927.0","752,407.0","561,630.0","539,792.0","664,684.0",
202303550,BF PRSD WO/B FRZ,"515,903.0","360,389.0","83,316.0","35,314.0","16,731.0","18,669.0","26,599.0","37,376.0","72,583.0","132,593.0","216,232.0","237,448.0","214,764.0","127,522.0","90,728.0","104,347.0","117,866.0","108,303.0",
202306000,"BFWO/B, CRC,FRZ","574,886.0","406,172.0","747,634.0","917,569.0","44,623.0","93,025.0","155,828.0","349,285.0","624,207.0","586,486.0","929,771.0","1,450,503.0","1,452,015.0","1,556,241.0","2,069,326.0","1,822,276.0","1,865,139.0","1,991,370.0",
206100000,"BOV OFL,ED,FR,CH","46,193.0","38,267.0","17,006.0","16,175.0","2,929.0","7,826.0","7,912.0","14,023.0","37,380.0","45,931.0","59,463.0","84,963.0","106,789.0","115,466.0","149,683.0","192,109.0","261,301.0","255,516.0",
206210000,"BOV TNGS,ED FRZ","185,900.0","184,981.0","85,558.0","105,619.0","6,127.0","24,047.0","24,990.0","44,326.0","19,985.0","45,155.0","75,448.0","80,249.0","83,095.0","113,563.0","117,056.0","83,047.0","102,224.0","90,507.0",
206220000,"BOV LVRS,ED FRZE","61,599.0","78,428.0","64,185.0","72,018.0","38,228.0","80,182.0","101,604.0","88,443.0","102,936.0","88,227.0","118,592.0","150,066.0","135,472.0","109,220.0","121,000.0","129,469.0","88,040.0","81,426.0",
206290010,"BOV OFL,FZ,HEART","3,701.0","8,581.0","10,959.0","12,509.0","5,614.0","6,107.0","5,382.0","8,703.0","11,485.0","14,425.0","23,180.0","33,566.0","27,814.0","33,743.0","31,038.0","23,225.0","24,734.0","26,143.0",
206290020,"BOV OFL,FZ,KDNEY","2,022.0","3,171.0","1,819.0","1,808.0","1,710.0","2,883.0","4,388.0","6,303.0","6,858.0","6,355.0","7,422.0","13,742.0","12,253.0","11,294.0","11,250.0","10,322.0","6,517.0","5,563.0",
206290030,"BOV OFL,FZ,BRAIN",308.0,298.0,142.0,225.0,344.0,70.0,27.0,74.0,43.0,89.0,63.0,225.0,80.0,70.0,659.0,882.0,508.0,481.0,
206290040,"BOV OFL,FZ,SWTBD","1,786.0","2,708.0",168.0,689.0,83.0,122.0,241.0,218.0,661.0,223.0,528.0,"1,249.0",974.0,"2,521.0","4,486.0","2,466.0","4,135.0","5,526.0",
206290050,"BOV OFL,FZ,LIPS","4,934.0","17,061.0","23,184.0","23,262.0","14,063.0","29,383.0","35,511.0","37,947.0","9,302.0","27,650.0","34,841.0","54,650.0","43,535.0","46,494.0","70,075.0","69,771.0","52,006.0","40,966.0",
206290090,"BOV OFL,FZ,OTHER","245,276.0","205,197.0","152,359.0","196,726.0","25,531.0","48,839.0","39,350.0","45,608.0","55,370.0","93,896.0","142,980.0","173,032.0","184,391.0","171,634.0","176,836.0","198,528.0","216,079.0","219,759.0",
210200000,"BF,SLT,BR,DRD,SM","6,952.0","10,874.0","9,441.0","10,630.0",655.0,"3,843.0","6,202.0",899.0,"2,648.0","5,281.0","7,875.0","4,825.0","4,483.0","3,190.0","2,551.0","2,989.0","2,531.0","2,313.0",
504000050,"BEEF TRIPE, FZ","46,965.0","218,948.0","257,078.0","254,829.0","162,003.0","245,585.0","297,276.0","363,902.0","90,208.0","73,466.0","68,247.0","87,158.0","95,185.0","113,877.0","141,325.0","148,874.0","135,130.0","130,660.0",
