Vegetable oil exports 1/,,,,,,,,,,,,,,,,,,,,Vegetable oil exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,8.0,13.7,9.0,11.8,13.0,11.6,8.6,10.6,22.2,28.1,25.1,23.5,33.5,32.3,22.0,24.0,19.8,20.3,,Illinois,194.4,192.0,254.6,249.2,248.1,239.5,245.6,364.1,477.8,401.3,508.3,541.5,536.5,421.7,460.2,419.1,394.0,420.8,,1
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Iowa,196.4,177.1,255.6,256.1,245.3,249.9,278.4,388.0,590.5,443.8,560.0,549.1,564.0,444.6,396.5,380.4,409.1,376.7,,2
Arizona,0.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Minnesota,118.0,102.7,158.7,162.8,136.4,135.8,171.5,221.6,392.9,253.4,337.6,338.6,372.8,313.3,249.9,245.9,264.0,256.7,,3
Arkansas,35.5,36.7,55.7,60.0,67.3,59.9,63.1,77.9,154.3,108.0,130.5,143.1,182.0,145.4,118.8,121.5,109.8,123.9,,Indiana,103.7,112.9,136.9,119.9,157.2,122.1,161.1,209.9,294.1,235.7,303.0,310.7,311.2,252.5,260.0,233.0,210.8,223.8,,4
California,3.6,2.7,2.1,2.6,2.2,1.7,2.0,2.6,5.9,5.0,3.3,3.9,3.5,3.2,3.3,3.7,3.0,2.8,,Nebraska,74.8,82.2,100.0,118.2,98.3,114.8,134.9,167.2,268.1,245.5,250.2,346.1,283.7,229.4,222.7,212.9,217.8,211.8,,5
Colorado,2.2,1.6,1.5,1.1,1.6,2.1,2.3,2.1,3.9,3.3,4.3,4.8,1.9,1.0,1.2,1.5,1.1,1.1,,North Dakota,51.9,56.7,85.6,94.1,77.0,75.9,102.3,138.0,227.8,151.7,205.9,230.8,247.5,192.3,193.2,177.0,204.2,205.8,,6
