Fresh vegetables exports 1/,,,,,,,,,,,,,,,,,,,,Fresh vegetables exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,3.7,3.3,2.8,4.5,4.1,3.5,4.3,4.3,2.6,2.8,2.3,2.6,3.3,3.1,3.3,4.1,0.1,0.1,,California,515.2,477.4,512.9,554.2,564.1,585.3,674.7,708.4,762.7,791.0,826.6,859.2,818.8,973.6,"1,063.0","1,091.6","1,020.5","1,075.9",,1
Alaska,0.4,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,,Arizona,59.7,45.8,64.9,43.3,69.5,68.5,58.5,78.7,69.1,71.0,100.3,141.3,78.7,126.3,75.0,116.0,163.1,204.4,,2
Arizona,59.7,45.8,64.9,43.3,69.5,68.5,58.5,78.7,69.1,71.0,100.3,141.3,78.7,126.3,75.0,116.0,163.1,204.4,,Washington,58.5,73.4,68.3,74.4,70.5,83.1,98.5,111.3,133.0,136.1,138.6,152.6,168.7,164.5,161.8,165.9,175.0,183.5,,3
Arkansas,2.2,2.1,2.0,3.0,2.3,4.0,4.2,3.7,2.0,1.3,2.4,3.5,5.5,3.9,4.1,3.6,2.1,2.9,,Idaho,52.7,54.9,63.8,55.0,54.1,58.3,75.2,84.1,110.3,110.0,123.0,141.1,149.6,145.4,143.7,130.6,143.2,157.7,,4
California,515.2,477.4,512.9,554.2,564.1,585.3,674.7,708.4,762.7,791.0,826.6,859.2,818.8,973.6,"1,063.0","1,091.6","1,020.5","1,075.9",,Florida,115.7,114.8,112.2,116.8,122.8,165.6,148.0,165.7,184.0,155.6,194.0,164.8,142.6,163.9,164.5,153.0,144.0,141.0,,5
Colorado,24.5,22.2,23.5,18.9,20.8,31.7,30.1,34.6,38.2,31.7,37.3,45.2,38.2,33.1,34.0,31.2,33.7,35.7,,North Dakota,18.6,20.3,22.6,22.3,29.2,32.4,32.0,54.0,73.4,64.2,71.9,60.8,81.4,84.9,71.3,74.5,95.1,86.2,,6
