Wheat exports 1/,,,,,,,,,,,,,,,,,,,,Wheat exports 1/,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,States ranked 2017,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Rank
,,,,,,,,Million $,,,,,,,,,,,,,,,,,,,,Million $,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,6.4,5.9,4.5,5.5,7.1,4.4,5.7,11.4,50.2,22.7,15.9,60.5,40.9,82.3,65.7,43.9,35.9,28.1,,North Dakota,463.5,486.4,525.1,541.3,719.1,654.2,600.3,"1,346.5","1,577.3",887.2,"1,237.5","1,689.2","1,143.2","1,292.4","1,227.3",977.1,952.0,"1,070.6",,1
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Kansas,537.9,538.4,618.7,775.0,703.6,792.6,660.3,"1,194.1","1,588.8",824.3,"1,092.1","1,462.4","1,267.5","1,573.0",969.7,844.9,838.8,968.3,,2
Arizona,12.5,14.4,17.6,23.5,26.9,16.2,17.1,31.0,73.7,59.2,26.4,50.4,46.0,47.9,47.8,75.0,41.2,52.1,,Montana,256.3,210.7,258.2,252.6,420.4,385.7,401.4,650.6,761.6,456.1,628.9,"1,194.5",719.1,956.3,817.6,543.8,555.8,564.5,,3
Arkansas,81.4,73.8,67.4,54.9,77.1,19.7,35.9,93.9,225.2,40.2,20.7,115.3,107.5,189.9,92.3,43.1,17.1,20.3,,Washington,238.2,271.8,286.1,290.2,392.1,282.0,301.9,569.2,544.9,318.4,476.1,791.2,545.2,706.4,511.6,276.7,383.1,481.4,,4
California,47.3,54.9,79.6,63.1,105.0,51.4,65.6,117.8,235.5,113.2,117.5,257.1,146.6,202.2,91.7,72.0,53.7,48.1,,Minnesota,143.6,157.7,167.2,161.6,227.6,173.5,182.1,320.5,513.2,216.8,267.4,541.8,261.2,377.2,255.0,217.3,214.2,296.6,,5
Colorado,119.8,108.4,109.4,122.2,119.2,114.2,100.6,331.1,320.9,200.1,297.4,408.1,280.2,237.3,301.1,180.3,177.9,227.4,,Idaho,176.1,159.4,187.7,150.6,237.7,208.9,201.2,354.9,395.3,249.3,341.6,562.7,415.3,501.5,397.1,218.8,268.9,295.7,,6
